"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","1","0","rise","0","0","fall","0","25",0.275522691437394,1396.11943191668,1419.59244897876,0.233436766939117,-694.059715958341,2613,0.22357710968943,0.284672771774478
"foods","multimodaldelta","alpha","1","0","rise","0","0","fall","0","5",0.285965102007248,1379.123205517,1402.59622257908,0.237599910284197,-685.561602758498,2613,0.227603462313683,0.286432254102133
"foods","multimodaldelta","alpha","1","0","rise","0","0","fall","0","75",0.290777130933396,1391.85962986789,1415.33264692997,0.232083168905906,-691.929814933943,2613,0.223369265724172,0.278712208208702
"foods","multimodaldelta","alpha","1","0","rise","0","0","fall","1","0",0.269614201032352,1500.4930163896,1523.96603345168,0.203123190232023,-746.246508194799,2613,0.195105640404993,0.251262024025684
"foods","multimodaldelta","alpha","1","0","rise","0","25","fall","0","0",0.283150143113936,1371.37601481274,1394.84903187482,0.240561514171355,-681.688007406371,2613,0.226010816766119,0.290890768845114
"foods","multimodaldelta","alpha","1","0","rise","0","25","fall","0","25",0.293638134281781,1324.32557262885,1347.79858969093,0.254714709608596,-658.162786314424,2613,0.24382488881133,0.303065978518088
"foods","multimodaldelta","alpha","1","0","rise","0","25","fall","0","5",0.301436911658929,1301.49525876443,1324.96827582651,0.260436033454399,-646.747629382214,2613,0.2481727760432,0.309110302995376
"foods","multimodaldelta","alpha","1","0","rise","0","25","fall","0","75",0.307288392933044,1301.89085021273,1325.36386727481,0.259040444814143,-646.945425106366,2613,0.247140917721881,0.30679796487097
"foods","multimodaldelta","alpha","1","0","rise","0","25","fall","1","0",0.281081631628223,1437.1252765486,1460.59829361068,0.223985672546597,-714.5626382743,2613,0.213936822595847,0.271085075656042
"foods","multimodaldelta","alpha","1","0","rise","0","5","fall","0","0",0.307844742417941,1293.08900621888,1316.56202328096,0.266906334737683,-642.544503109439,2613,0.255666894613786,0.313516475129527
"foods","multimodaldelta","alpha","1","0","rise","0","5","fall","0","25",0.317267848576476,1237.47226061542,1260.94527767751,0.283158575772865,-614.736130307712,2613,0.270810936899618,0.330069883798851
"foods","multimodaldelta","alpha","1","0","rise","0","5","fall","0","5",0.319842181613916,1214.13342684754,1237.60644390962,0.288585438638634,-603.066713423768,2613,0.275529925045567,0.337873264184431
"foods","multimodaldelta","alpha","1","0","rise","0","5","fall","0","75",0.322372129259022,1210.57839239313,1234.05140945521,0.287292890622054,-601.289196196566,2613,0.275978793873829,0.337187841005089
"foods","multimodaldelta","alpha","1","0","rise","0","5","fall","1","0",0.301450141159059,1329.85851597917,1353.33153304125,0.256839104757766,-660.929257989585,2613,0.245793550655272,0.304033185813372
"foods","multimodaldelta","alpha","1","0","rise","0","75","fall","0","0",0.335762256321336,1223.40000034437,1246.87301740646,0.287486608278661,-607.700000172187,2613,0.275792410800818,0.336190559557381
"foods","multimodaldelta","alpha","1","0","rise","0","75","fall","0","25",0.344404064877532,1161.15210789174,1184.62512495382,0.306525525400054,-576.576053945871,2613,0.292896099884607,0.352756481008889
"foods","multimodaldelta","alpha","1","0","rise","0","75","fall","0","5",0.345796483781103,1118.58236601774,1142.05538307982,0.319622067604965,-555.291183008869,2613,0.303786318354966,0.366933090057739
"foods","multimodaldelta","alpha","1","0","rise","0","75","fall","0","75",0.342249640803234,1118.9746372997,1142.44765436178,0.31766180151336,-555.487318649851,2613,0.304510481183285,0.366520969388783
"foods","multimodaldelta","alpha","1","0","rise","0","75","fall","1","0",0.316810408451095,1246.08097319196,1269.55399025404,0.285503462910248,-619.040486595981,2613,0.273652267002763,0.334569578932845
"foods","multimodaldelta","alpha","1","0","rise","1","0","fall","0","0",0.340678978283295,1286.36855990748,1309.84157696956,0.273973854091547,-639.18427995374,2613,0.261486232322602,0.320494094778966
